,Smiles,MW,LogP,NumHDonors,NumHAcceptors
105,Cc1ccccc1C1(CNC(=O)c2ccc(S(C)(=O)=O)cc2)CC1,343.44800000000015,2.860120000000001,1,3
106,O=C(O)c1ccc(COc2ccc(CN3CCC[C@H]3C(=O)NCc3ccccc3)cc2)cc1,444.53100000000006,4.244600000000004,2,4
107,COc1ccc(-c2cc(-c3ccsc3)[nH]c(=N)c2C#N)cc1,307.37800000000004,3.7699500000000015,2,4
108,Cc1cccc(-c2cc(Nc3ccn(C)n3)nc3[nH]cc(C#N)c23)c1,328.3790000000001,3.887100000000001,2,5
109,O=C(Nc1sc2c(c1C(=O)N1CCOCC1)CCCC2)c1ccccc1Cl,404.9190000000001,4.0050000000000034,1,4
110,O=C(O)Cn1c2c(c3ccccc31)CCN(Cc1ccc(Br)cc1)C2=S,429.339,4.2222000000000035,1,3
111,C[C@H](Nc1nccc(N2C(=O)OC[C@@H]2[C@@H](C)O)n1)c1ccc(C2(C)CC2)cc1F,400.4540000000002,3.5463000000000022,2,6
112,C/C1=C\[C@@H]2[C@H](CC[C@@]3(C)O[C@@H]3[C@H]3[C@@H](O)[C@@H](C)C[C@]3(OC(=O)/C=C/c3ccccc3)C1=O)C2(C)C,464.60200000000026,4.737600000000005,1,5
113,Cc1cccc(-c2nc(C3CCNCC3)[nH]c2-c2ccc3c(c2)n(C)c(=O)n3C)c1,401.5140000000001,3.7095200000000013,2,5
114,CCc1cc(C(=O)O)c(NC(=O)c2ccc([N+](=O)[O-])o2)s1,310.28700000000003,2.7622,2,6
115,O=C(Nc1ncnc2[nH]c(/C=C/c3ccccc3)nc12)c1cccc(Br)c1,420.2700000000001,4.538100000000002,2,4
116,Cc1nn(C2CCCCC2)c2sc(C(=O)N[C@H]3CC[C@H](O)CC3)cc12,361.5110000000002,3.944720000000003,2,5
117,COC(=O)c1ccccc1NC(=O)c1oc2ccc3c(c2c1C)C(=O)CC(C)(C)O3,407.42200000000025,4.523920000000004,1,6
118,Cn1c(C(=O)NN2C(=O)CSC2C/C=C/c2ccccc2)cc(Br)c1Br,499.22800000000007,4.199900000000003,1,4
119,Cc1ccc(C2=NN(C(=O)CN3CCCCC3)C(c3cc(Cl)ccc3O)C2)cc1,411.9330000000001,4.517620000000005,1,4
120,CCOc1cccc(SCc2noc(C(=O)NC(C)C)c2C(=O)O)c1,364.42300000000006,3.202000000000001,2,6
121,CC[C@H](CO)Nc1ccnc2cc(Br)cnc12,296.168,2.5751,2,4
122,O=C(NCC1CC1)c1ccc2c3n(nc2c1)-c1ccc(Cl)cc1CO3,353.80900000000014,3.7111000000000027,1,4
123,Cc1cc(NC(=O)COc2ccc(Cl)cc2Cl)n(-c2ccccc2)n1,376.2430000000001,4.505020000000004,1,4
124,CC(=O)O[C@]1(C(=O)O)[C@@H](C)CC2C3CCC4=CC(=O)C=C(C)C4(C)[C@@]3(F)[C@@H](O)CC21C,434.5040000000002,3.379800000000002,2,5
125,CCn1cc(CNC2CCN(c3c(F)cccc3F)C2)cn1,306.36000000000007,2.5497000000000005,1,4
126,Cc1ncc(CNC(=O)N(CCCO)C2CCc3ccccc32)s1,345.46799999999996,3.0330200000000014,2,4
127,CCC(=O)N1c2ccccc2N=C2CCCC(O)=C2C1c1ccc(N(C)C)cc1,389.4990000000001,5.319000000000005,1,4
128,Cc1ccc(Cl)cc1N(C(=O)c1csnn1)C(C(=O)NC1CCCC1)c1ccco1,444.9440000000003,4.539820000000003,1,6
129,c1cc(C2CC2)ccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,346.47800000000007,4.516800000000003,2,3
130,c1cc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)ccn1,419.53200000000027,5.826000000000005,1,4
131,Cc1cc(C(N)=O)nn1-c1cccc(-c2c(F)cccc2C(F)(F)F)c1,363.314,4.104520000000003,1,3
132,C[C@@H](C(=O)OC(C)(C)C)N(C)[C@@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O,360.4540000000001,2.7932800000000015,1,6
133,C=C1CC[C@@H]2[C@](C)(CNCCc3cccs3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,441.6370000000003,4.669300000000004,2,5
134,CCOC(=O)c1ccc(N2Cc3ccccc3C2)cc1O,283.327,3.0891000000000024,1,4
135,CCCC(=O)Nc1ccccc1OCc1cc(=O)n2cc(C)ccc2n1,351.40600000000006,3.320520000000002,1,5
136,O=C(COc1ccc2c(-c3ccccc3)cc(=O)oc2c1)NN1C(=O)CSC1c1ccc(F)cc1,490.51200000000017,4.283300000000002,1,6
137,Cc1cc(-n2c(C)cc(C(=O)CN3C(=O)NC4(CCCCC4)C3=O)c2C)no1,384.4360000000002,2.827960000000001,1,6
138,O=C1OC[C@@H](Cc2ccccc2)N1c1ccnc(NCc2ccccc2)n1,360.4170000000001,3.656600000000002,1,5
139,C=CCN1C[C@H](C)N([C@@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)C[C@H]1C,435.6120000000002,4.5442000000000045,1,4
